data_assinatura;orgao_contratante;uf;valor_global_reais;tipo;objeto;numero_controle_pncp;link_pncp
2026-06-12;ESTADO DO RIO DE JANEIRO;RJ;47700,00;Empenho;Custeio da participac?o no evento denominado A Arte e a Ciencia da Oratoria oferecido pelo;42498600000171-2-002676/2026;https://pncp.gov.br/app/contratos/42498600000171/2026/2676
2026-06-15;CAMARA MUNICIPAL DE SAO JOSE DO RIO PRETO;SP;21450,00;Empenho;Contratação de empresa para realização de curso online para 5 servidores, sobre Reforma Tr;51857894000171-2-000024/2026;https://pncp.gov.br/app/contratos/51857894000171/2026/24
2026-06-19;CAMARA MUNICIPAL DO RIO DE JANEIRO;RJ;53000,00;Empenho;"Despesa com a participação de servidores da CMRJ no curso ""A
Arte e a Ciência da Oratória""";30467039000184-2-000025/2026;https://pncp.gov.br/app/contratos/30467039000184/2026/25
2026-07-13;PIAUI TRIBUNAL DE CONTAS DO ESTADO;PI;51516,00;Contrato (termo inicial);Prestação de serviços educacionais consistentes na oferta de 02 (duas) vagas no MBA Gestão;05818935000101-2-000068/2026;https://pncp.gov.br/app/contratos/05818935000101/2026/68
2026-07-14;TRIBUNAL DE CONTAS DO ESTADO DE PERNAMBUCO;PE;50000,00;Empenho;SEI 001.007437/2026-10 GDDF, SC 67, PC 50/26. Inex. 34/26- Contratação da empresa Institut;11435633000149-2-000158/2026;https://pncp.gov.br/app/contratos/11435633000149/2026/158
2026-07-23;TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS;MG;103032,00;Contrato (termo inicial);SEI 26.0.000005954-3 - Curso de MBA - Gestão Avançada em Contratações Públicas, para 4 (qu;21154877000107-2-000178/2026;https://pncp.gov.br/app/contratos/21154877000107/2026/178
2026-07-28;AMAZONAS TRIBUNAL DE JUSTICA;AM;1635900,00;Contrato (termo inicial);Contratação do curso de pós-graduação lato sensu “MBA em Jurisdição Constitucional e Temas;04812509000190-2-000045/2026;https://pncp.gov.br/app/contratos/04812509000190/2026/45
2026-08-06;GOIAS TRIBUNAL DE CONTAS;GO;201484,80;Contrato (termo inicial);Contratação de 8 (oito) matrículas no curso MBA Gestão Avançada em Contratações Públicas,;02291730000114-2-000085/2026;https://pncp.gov.br/app/contratos/02291730000114/2026/85
2026-08-11;CONSELHO FEDERAL DE CONTABILIDADE;DF;1382000,00;Contrato (termo inicial);Contratação de solução integrada compreendendo a prestação de serviços de capacitação em f;33618570000107-2-000055/2026;https://pncp.gov.br/app/contratos/33618570000107/2026/55
2026-08-25;MUNICIPIO DE MARICA;RJ;314820,00;Contrato (termo inicial);"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA 
CAPACITAÇÃO DE AGENTES PÚBLICOS DA ADMINISTRAÇÃ";29131075000193-2-000385/2026;https://pncp.gov.br/app/contratos/29131075000193/2026/385
2026-09-09;CONSORCIO INTERMUNICIPAL DE SAUDE DO VALE DO RIBEIRA E LITORAL SUL;SP;343440,00;Contrato (termo inicial);"Contratação de 12 (DOZE) INSCRIÇÕES/MATRÍCULAS para o ""MBA DE GESTÃO AVANÇADA EM CONTRATAÇ";57740490000180-2-002498/2026;https://pncp.gov.br/app/contratos/57740490000180/2026/2498
